5	30	0.09534
6.528	30	0.1067
8.394	30	0.1477
10.26	30	0.1894
12.12	30	0.2099
13.99	30	0.1996
15.85	30	0.175
17.72	30	0.16
19.59	30	0.1445
21.45	30	0.1401
23.32	30	0.1356
25.18	30	0.1346
27.05	30	0.1166
28.91	30	0.2466
30.78	30	0.1515
32.64	30	0.138
34.51	30	0.08572
36.37	30	0.2315
38.24	30	0.1587
5	31.88	0.1225
6.528	31.88	0.1281
8.394	31.88	0.142
10.26	31.88	0.1631
12.12	31.88	0.1622
13.99	31.88	0.1576
15.85	31.88	0.1078
17.72	31.88	0.1055
19.59	31.88	0.1286
21.45	31.88	0.1403
23.32	31.88	0.1472
25.18	31.88	0.1355
27.05	31.88	0.1735
28.91	31.88	0.06071
30.78	31.88	0.191
32.64	31.88	0.215
34.51	31.88	0.221
36.37	31.88	0.1872
38.24	31.88	0.1685
5	33.75	0.1609
6.528	33.75	0.1573
8.394	33.75	0.179
10.26	33.75	0.1981
12.12	33.75	0.1954
13.99	33.75	0.182
15.85	33.75	0.1471
17.72	33.75	0.1168
19.59	33.75	0.1149
21.45	33.75	0.1251
23.32	33.75	0.1274
25.18	33.75	0.175
27.05	33.75	0.2227
28.91	33.75	0.3426
30.78	33.75	0.2606
32.64	33.75	0.1003
34.51	33.75	0.1598
36.37	33.75	0.191
38.24	33.75	0.1309
5	35.63	0.1031
6.528	35.63	0.08469
8.394	35.63	0.08817
10.26	35.63	0.1141
12.12	35.63	0.1571
13.99	35.63	0.1325
15.85	35.63	0.114
17.72	35.63	0.09747
19.59	35.63	0.1009
21.45	35.63	0.198
23.32	35.63	0.3071
25.18	35.63	0.1781
27.05	35.63	0.05693
28.91	35.63	0.1172
30.78	35.63	0.08203
32.64	35.63	0.0318
34.51	35.63	0.025
36.37	35.63	0.224
38.24	35.63	0.1809
5	37.5	0.1341
6.528	37.5	0.1159
8.394	37.5	0.103
10.26	37.5	0.1284
12.12	37.5	0.1348
13.99	37.5	0.1097
15.85	37.5	0.1016
17.72	37.5	0.1209
19.59	37.5	0.2605
21.45	37.5	0.3
23.32	37.5	0.1852
25.18	37.5	0.1585
27.05	37.5	0.1373
28.91	37.5	0.2327
30.78	37.5	0.3052
32.64	37.5	0.08864
34.51	37.5	0.02855
36.37	37.5	0.42
38.24	37.5	0.1975
5	39.38	0.1703
6.528	39.38	0.1296
8.394	39.38	0.1317
10.26	39.38	0.152
12.12	39.38	0.1301
13.99	39.38	0.1242
15.85	39.38	0.1274
17.72	39.38	0.2
19.59	39.38	0.2643
21.45	39.38	0.2109
23.32	39.38	0.15
25.18	39.38	0.06775
27.05	39.38	0.2724
28.91	39.38	0.3473
30.78	39.38	0.08824
32.64	39.38	0.02772
34.51	39.38	0.02683
36.37	39.38	0.06015
38.24	39.38	0.2166
5	41.25	0.182
6.528	41.25	0.171
8.394	41.25	0.1595
10.26	41.25	0.1171
12.12	41.25	0.09457
13.99	41.25	0.104
15.85	41.25	0.1902
17.72	41.25	0.212
19.59	41.25	0.0629
21.45	41.25	0.213
23.32	41.25	0.2565
25.18	41.25	0.2329
27.05	41.25	0.2632
28.91	41.25	0.09019
30.78	41.25	0.03104
32.64	41.25	0.02605
34.51	41.25	0.09648
36.37	41.25	0.03864
38.24	41.25	0.207
5	43.13	0.1929
6.528	43.13	0.2214
8.394	43.13	0.191
10.26	43.13	0.1624
12.12	43.13	0.35
13.99	43.13	0.1858
15.85	43.13	0.1258
17.72	43.13	0.3
19.59	43.13	0.0603
21.45	43.13	0.2753
23.32	43.13	0.2942
25.18	43.13	0.2703
27.05	43.13	0.1871
28.91	43.13	0.2922
30.78	43.13	0.1498
32.64	43.13	0.1637
34.51	43.13	0.2025
36.37	43.13	0.15
38.24	43.13	0.1709
5	45	0.1706
6.528	45	0.2271
8.394	45	0.1737
10.26	45	0.2866
12.12	45	0.05
13.99	45	0.1405
15.85	45	0.1257
17.72	45	0.2002
19.59	45	0.2692
21.45	45	0.2473
23.32	45	0.2724
25.18	45	0.1737
27.05	45	0.4439
28.91	45	0.2505
30.78	45	0.5258
32.64	45	0.05141
34.51	45	0.02675
36.37	45	0.2333
38.24	45	0.1424
5	46.88	0.1912
6.528	46.88	0.241
8.394	46.88	0.3994
10.26	46.88	0.2859
12.12	46.88	0.1618
13.99	46.88	0.1302
15.85	46.88	0.1593
17.72	46.88	0.1685
19.59	46.88	0.1848
21.45	46.88	0.1881
23.32	46.88	0.4338
25.18	46.88	0.4311
27.05	46.88	0.5439
28.91	46.88	0.512
30.78	46.88	0.3304
32.64	46.88	0.2848
34.51	46.88	0.15
36.37	46.88	0.2708
38.24	46.88	0.2824
5	48.75	0.1535
6.528	48.75	0.2869
8.394	48.75	0.2192
10.26	48.75	0.1932
12.12	48.75	0.1603
13.99	48.75	0.2197
15.85	48.75	0.2745
17.72	48.75	0.1268
19.59	48.75	0.1374
21.45	48.75	0.2035
23.32	48.75	0.1963
25.18	48.75	0.4277
27.05	48.75	0.3126
28.91	48.75	0.4063
30.78	48.75	0.1984
32.64	48.75	0.025
34.51	48.75	0.08976
36.37	48.75	0.2154
38.24	48.75	0.3079
5	50.63	0.1671
6.528	50.63	0.2746
8.394	50.63	0.2399
10.26	50.63	0.1943
12.12	50.63	0.2572
13.99	50.63	0.2286
15.85	50.63	0.1213
17.72	50.63	0.1241
19.59	50.63	0.1425
21.45	50.63	0.1711
23.32	50.63	0.257
25.18	50.63	0.3163
27.05	50.63	0.7436
28.91	50.63	0.395
30.78	50.63	0.1055
32.64	50.63	0.06356
34.51	50.63	0.175
